article_id,section,slug,title,original_url,snapshot_timestamp,wayback_url
1,KB/buttons,zhaocolorbutton,Custom Button with Color and Shape- CodeProject,https://www.codeproject.com/KB/buttons/zhaocolorbutton.aspx,20250327045403,https://web.archive.org/web/20250327045403/https://www.codeproject.com/KB/buttons/zhaocolorbutton.aspx
2,KB/buttons,zetawebcontrollibrary,Zeta Web Control Library,http://www.codeproject.com:80/KB/buttons/ZetaWebControlLibrary.aspx,20111206160430,https://web.archive.org/web/20111206160430/http://www.codeproject.com:80/KB/buttons/ZetaWebControlLibrary.aspx
3,KB/buttons,xp-button,XP-style Button Control - CodeProject®,http://www.codeproject.com:80/KB/buttons/xp_button.aspx,20111225032227,https://web.archive.org/web/20111225032227/http://www.codeproject.com:80/KB/buttons/xp_button.aspx
4,KB/buttons,xp-style-button,XP-Style Button- CodeProject,https://www.codeproject.com/KB/buttons/xp-style_button.aspx,20250326083313,https://web.archive.org/web/20250326083313/https://www.codeproject.com/KB/buttons/xp-style_button.aspx
5,KB/buttons,xglyphbutton,XGlyphButton - a simple image button control- CodeProject,https://www.codeproject.com/KB/buttons/XGlyphButton.aspx,20241117034509,https://web.archive.org/web/20241117034509/https://www.codeproject.com/KB/buttons/XGlyphButton.aspx
6,KB/buttons,xemphasisbutton,XEmphasisButton - bold and underlined text in a non-ownerdraw button - CodeProject®,http://www.codeproject.com:80/KB/buttons/XEmphasisButton.aspx,20111229202506,https://web.archive.org/web/20111229202506/http://www.codeproject.com:80/KB/buttons/XEmphasisButton.aspx
7,KB/buttons,xctrls,Custom Bitmap Button Using C# - CodeProject®,http://www.codeproject.com:80/KB/buttons/XCtrls.aspx,20111225221140,https://web.archive.org/web/20111225221140/http://www.codeproject.com:80/KB/buttons/XCtrls.aspx
8,KB/buttons,xbuttonxp,XButtonXP - an XP-aware pushbutton that can also toggle and display an icon- CodeProject,https://www.codeproject.com/KB/buttons/XButtonXP.aspx,20241116183943,https://web.archive.org/web/20241116183943/https://www.codeproject.com/KB/buttons/XButtonXP.aspx
9,KB/buttons,wowbuttons,WowButtons with the GdiDrawStream function - CodeProject®,http://www.codeproject.com:80/KB/buttons/WowButtons.aspx,20111221030808,https://web.archive.org/web/20111221030808/http://www.codeproject.com:80/KB/buttons/WowButtons.aspx
10,KB/buttons,vistabutton,Vista Style Button in C#- CodeProject,https://www.codeproject.com/KB/buttons/VistaButton.aspx,20250212081820,https://web.archive.org/web/20250212081820/https://www.codeproject.com/KB/buttons/VistaButton.aspx
11,KB/buttons,view,Untitled,https://www.codeproject.com/KB/buttons/View.aspx,20241119122703,https://web.archive.org/web/20241119122703/https://www.codeproject.com/KB/buttons/View.aspx
12,KB/buttons,vcrumb,Crumb - A breadcrumb-like nesting button - CodeProject®,http://www.codeproject.com:80/KB/buttons/vcrumb.aspx,20111229200532,https://web.archive.org/web/20111229200532/http://www.codeproject.com:80/KB/buttons/vcrumb.aspx
13,KB/buttons,usercontroldefaultbutton,Default Button on a User Control,http://www.codeproject.com:80/KB/buttons/UserControlDefaultButton.aspx,20111007001843,https://web.archive.org/web/20111007001843/http://www.codeproject.com:80/KB/buttons/UserControlDefaultButton.aspx
14,KB/buttons,unibutton,Unicode Owner Draw Button Control - CodeProject®,http://www.codeproject.com:80/KB/buttons/UniButton.aspx,20111221040710,https://web.archive.org/web/20111221040710/http://www.codeproject.com:80/KB/buttons/UniButton.aspx
15,KB/buttons,trocket-twitter-client,TRocket - Twitter Client [OPEN SOURCE] - CodeProject®,http://www.codeproject.com:80/KB/buttons/TRocket_-_Twitter_Client.aspx,20120106192352,https://web.archive.org/web/20120106192352/http://www.codeproject.com:80/KB/buttons/TRocket_-_Twitter_Client.aspx
